end,start,tweet_count,keyword
2023-02-13,2023-02-12,0,shrinkinganddrinking
2023-02-14,2023-02-13,0,shrinkinganddrinking
2023-02-14,2023-02-14,0,shrinkinganddrinking
2023-02-10,2023-02-09,1,shrinkresponsibly
2023-02-11,2023-02-10,0,shrinkresponsibly
2023-02-12,2023-02-11,0,shrinkresponsibly
2023-02-13,2023-02-12,4,shrinkresponsibly
2023-02-14,2023-02-13,288,shrinkresponsibly
2023-02-14,2023-02-14,40,shrinkresponsibly
2023-02-10,2023-02-09,21041,signature
2023-02-11,2023-02-10,23043,signature
2023-02-12,2023-02-11,16697,signature
2023-02-13,2023-02-12,22418,signature
2023-02-14,2023-02-13,25173,signature
2023-02-14,2023-02-14,24914,signature
2023-02-10,2023-02-09,0,signatureflavors
2023-02-11,2023-02-10,0,signatureflavors
2023-02-12,2023-02-11,0,signatureflavors
2023-02-13,2023-02-12,0,signatureflavors
2023-02-14,2023-02-13,0,signatureflavors
2023-02-14,2023-02-14,0,signatureflavors
2023-02-10,2023-02-09,0,silentgetaway
2023-02-11,2023-02-10,0,silentgetaway
2023-02-12,2023-02-11,0,silentgetaway
2023-02-13,2023-02-12,0,silentgetaway
2023-02-14,2023-02-13,0,silentgetaway
2023-02-14,2023-02-14,0,silentgetaway
2023-02-10,2023-02-09,727,silverstone
2023-02-11,2023-02-10,1444,silverstone
2023-02-12,2023-02-11,2127,silverstone
2023-02-13,2023-02-12,1050,silverstone
2023-02-14,2023-02-13,8843,silverstone
2023-02-14,2023-02-14,1730,silverstone
2023-02-10,2023-02-09,1155,silvester
2023-02-11,2023-02-10,801,silvester
2023-02-12,2023-02-11,452,silvester
2023-02-13,2023-02-12,796,silvester
2023-02-14,2023-02-13,621,silvester
2023-02-14,2023-02-14,318,silvester
2023-02-10,2023-02-09,0,silvesterstallone
2023-02-11,2023-02-10,0,silvesterstallone
2023-02-12,2023-02-11,0,silvesterstallone
2023-02-13,2023-02-12,0,silvesterstallone
2023-02-14,2023-02-13,1,silvesterstallone
2023-02-14,2023-02-14,2,silvesterstallone
2023-02-10,2023-02-09,0,silvesterstalone
2023-02-11,2023-02-10,0,silvesterstalone
2023-02-12,2023-02-11,0,silvesterstalone
2023-02-13,2023-02-12,0,silvesterstalone
2023-02-14,2023-02-13,0,silvesterstalone
2023-02-14,2023-02-14,0,silvesterstalone
2023-02-10,2023-02-09,199549,simple
2023-02-11,2023-02-10,224611,simple
2023-02-12,2023-02-11,202636,simple
2023-02-13,2023-02-12,215030,simple
2023-02-14,2023-02-13,222920,simple
2023-02-14,2023-02-14,211917,simple
2023-02-10,2023-02-09,64,simuliu
2023-02-11,2023-02-10,1054,simuliu
2023-02-12,2023-02-11,177,simuliu
2023-02-13,2023-02-12,94,simuliu
2023-02-14,2023-02-13,58,simuliu
2023-02-14,2023-02-14,406,simuliu
